Key,,,Information wrong or suspect,Diamond Mitsubishi Contractors,"Questions, dupes, etc.","Really like the website, and the way they present the information. Company gives a good, strong impression.",DUPLICATE DELETE,,,,,,,
,,,,,,,,,,,,,,
Status,Source,SN,Company Name,Address,Phone Number,Website,Email,Energy Audit ,Weatherization  ,HVAC/Heat Pump,Electrical ,Water Heater ,Appliances ,Certifications 
,,0,360 Community Development Corporation,16701 MELFORD BLVD STE 400 BOWIE MD 20715-4411,(202) 904-9052,http://www.360cdcinc.org/,,Services not available on website,,,,,,Partner with LEED Certified Developers
,,1,"A & E Construction, LLC","910 Webster St NW, Washington, DC 20011",(202)746-0659,https://www.aandeconstructionllc.com/,info@aandeconstructionllc.com,No,No,Yes,Yes,No,No,"SBE, MBE, DBE, MDOT Registered, Approved Vendor"
,Rheem,,A & H Plumbing,"1329 Shepard Dr Sterling, VA 20164",703-929-7982,,,,,,,,,Pro Partner Plumbing 
,Eaton,2,A Action Home Services,"6404 Telegraph Rd Suite 200, Alexandria, VA 22310",703-215-9914,https://www.aactionhomeservices.com/contact-us/,Kenneth.Teets@aactionhs.com,No,No,Yes,Yes,Yes,No,"BBB, 2024 FAVES, Eaton Certified Electrical Contractor"
,,3,A C & H INCORPORATED,"Sterling, VA",703-544-7889,,,,,,,,,
,,4,A J Mechanical Services,"2722 Washington Blvd B, Arlington, VA 22201",(703) 312-0800,https://ajmechanicalservice.com,info@ajmechanicalservice.com,No,No,Yes,Yes,No,No,
,Mitsubishi ,5,A. B. CHELINI dba UNITED SERVICE SPECIALISTS,"5110 Roanoke Place, Suite 104 College Park, MD 20740",(301) 241-9200,https://unitedservicespecialists.com,Contact through Website ,Yes,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, ClimateMaster, BBB Rating: A+, Energy Star"
,,6,"AA Dependable Air, Inc.","12402 Waldorf Business Square, Waldorf, MD 20601",301-638-0981,https://aadependableair.com,Contact through Website ,No,No,Yes,No,No,No,
,,7,AAA HVAC SERVICES,"1900 Reston Metro Plaza Suite 600 Reston, VA 20190",(703) 825-4973 ,https://www.aaahvac.com/,info@aaahvac.com,No,No,Yes,Yes,Yes,No,"A+ rated BBB accredited, Top rated Angie's list service provider 2014, 2015, 2016, Best of Home Advisor 2017"
,,8,"ABC 24 Hours, LLC","14720 Flint Lee Rd A, Chantilly, VA 20151",(703) 682-9568,https://www.abc24hours.com,hvac@abc24hours.com,No,No,Yes,No,Yes,No,
,,9,AC Repair DC,"2015 14th St NW Unit B, Washington, DC 20009",(202) 985-8885,https://dcachvac.com/,accurate1634@gmail.com,No,No,Yes,No,No,No,
,,10,AFC Integrity Energy LLC,"12962 Claxton Dr, Laurel, MD 20708",(240) 423-3969,,afcinvestors@gmail.com,,,,,,,
,,11,AHS Inc.,"3507 Mullin Ln, Bowie, MD 20715",301-399-5119,https://www.ahshvac.com,ahsservicedept@gmail.com,No,No,Yes,No,No,No,
,Daikin,,AIRFLOW SHEET METAL,"12219 BRADDOCK RD, FAIRFAX , VA 22030",240-604-1758,https://airflowsheetmetal.com,Contact through Website ,No,No,Yes,No,No,No,Daikin Comfort Pro
,,12,AIR TECH INT'L,"7903 Cole Ave, Takoma Park, MD 20912",(240) 388-0030,https://air-techinternational.com,support@air-techinternational.com,No,No,No,No,No,No,
,,13,AJ'S HEATING & AIR COND LLC,"ARLINGTON, VA",571-536-2573,,,,,,,,,
,Mitsubishi ,14,"ANTHONY & SON INDOOR AIR QUALITY, LLC",1109 Taft St Rockville MD 20850,(240) 683-6862,https://anthonyandsonhac.com,Contact through Website ,No,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, Expertise.com: Best HVAC & Furnace Repair Services in Gaithersburg 2022"
Include pools?,,15,"AQUAMAN POOL SERVICE, INC.",,(703) 996-8900,,,,,,,,,
Dupe?,Daikin ,16,Argent Heating & Cooling LLC,"2724 DORR AVE SUITE 201, FARIFAX, VA 22031",703-281-6300,https://argent-heating-cooling.com,info@argent-llc.com,No,No,Yes,No,No,Yes,Daikin Comfort Pro
,,17,AVS Heating and Air Conditioning Falls Church,"2800 Dorr Ave Suite R Fairfax, VA 22031",(703) 457-9028,https://avsheatingandair.com/,avsservice@yahoo.com,Yes,No,Yes,No,No,Yes,
,,18,AZ HVAC LLC,,(202) 766-3844,https://azhvacllc.com/contact-us/,,No,No,Yes,No,No,No,
,,19,"AZA heating, cooling, plumbing & construction","5800 Quantrell Ave #1510, Alexandria, VA 22312",(202) 733-8633,https://azahvac.com/,info@azahvac.com,No,No,Yes,No,No,No,
,,20,Accurate Insulation LLC,"15121 Marlboro Pike, Upper Marlboro, MD 20772",(301) 627-6506,http://www.accurateinsulation.com/,msears@accurateinsulation.com,No,Yes,No,No,No,No,
,,21,Ace Air Conditioning & Heating Services Inc.,"14088-H Sullyfield Cir, Chantilly, VA 20151",(703) 691-0095,https://aceaironline.com,customerservice@aceaironline.com,No,No,Yes,No,No,No,
,,22,Acorns Technology LLC,,(571) 403-4385,https://www.yelp.com/biz/acorns-technology-general-contractors-alexandria,,No,No,Yes,No,No,No,
,,23,Advanced Green Home Solutions,"1125 West Street, Suite 421, Annapolis, MD 21401",443-575-6592,https://advancedgreenhomesolutions.com,Contact through Website ,Yes,Yes,Yes,No,No,No,Angi 2022 Super Service Award 
,,24,Air 1 Mechanical Heating and Cooling,"45710 Oakbrook Ct, Sterling, VA 20166",(703) 973-2471,https://airone360.com,info@airone360.com,Yes,No,Yes,Yes,No,No,"Factory Authorized Dealer Carrier, Google Guaranteed Service Provider "
,,25,Air Master Heating and Cooling,"3021 Georgia Ave NW, Washington, DC 20001",(202) 609-9803,https://airmasterdmv.com/,info@airmasterdmv.com,No,No,Yes,No,Yes,No,"Google Guaranteed, Carrier Factory Authorized Dealer"
,,26,Air Pro Heating & Air Conditioning Inc,"10653 Oakton Ridge Ct, Oakton, VA 22124",(703) 255-0624,https://airproinc.net,Contact through Website ,No,No,Yes,No,Yes,No,Factory Authorized Dealer Carrier
,Rheem,27,Air Treatment Co,"518 Mill St NE, Vienna, VA 22180",703-938-0550,https://www.air-treatment.com/,Contact through Website ,No,No,Yes,No,Yes,No,"BBB Accredited with A+ rating, Factory Authorized Dealer Carrier, Pro Partner Heating + Cooling, Residential Financing"
,,28,Airco Mechanical Company,"12100 Vale Rd, Oakton, VA 22124",(703) 919-0809,https://airco1.com,AIRCO@LIVE.COM,No,No,Yes,No,No,No,"A+ BBB Rating, NATE Certified Technicians"
,,29,Airsmith Pro Inc,"Woodbridge, VA",(571) 730-0112,http://www.airsmithpro.com,info@airsmithpro.com,No,No,Yes,No,Yes,No,
,,30,Airtech Specialist,"5645 General Washington Dr UNIT K, Alexandria, VA 22312",(703) 554-9503,https://www.airtechspecialist.com,NICK.TRAN@airtechspecialist.com,No,No,Yes,No,No,No,BBB Accredited with A+ rating
,,31,All Point Appliances and Repair,"4700 5th St NW Washington, DC 20011-4757",(202) 993-5812,https://www.bbb.org/us/dc/washington/profile/handyman/all-point-appliances-and-repair-llc-0241-236073579,,,,,,,,
,,32,All-Pro Services Inc,"1215 Ritchie Rd, Capitol Heights, MD 20743",(866) 941-4328,https://all-pro-services.com/,info@all-pro-services.com,No,No,Yes,No,Yes,No,"Factory authorized dealer for Lennox, Byrant, Carrier, Rudd, Rheem, York and Trane heating systems"
,,33,AllTech Services,"101-A Executive Dr STE 200, Sterling, VA 20166",703-540-3479,https://www.alltechservicesinc.com,Contact through Website ,No,No,Yes,No,Yes,No,BBB Accredited with A+ rating
,,34,"Alltec's, LLC","1800 Diagonal Rd,  Suite 600, Alexandria, VA 22314",(703) 647-6561,https://alltecsco.com,Contact through Website ,No,No,Yes,No,No,No,
,,35,American Home Builders Inc.,"2036 Tred Avon Rd., Essex, MD 21221",410-391-0500,https://www.americanhomebuildersinc.com,office@americanhomebuilders.com,Yes,No,Yes,No,No,No,
,,36,"American Home Performance, LLC","502 East Franklin Ave, Silver Spring, MD 20901",240-743-7115,https://www.ahpenergy.com,Contact through Website ,Yes,Yes,No,No,No,No,BBB Accredited with A+ rating
,,37,Arctic Sun Heating & AC Inc.,"3420 Catlett Rd, Catlett, VA 20119",(571) 380-6274,https://arcticsunheatingandcoolingva.hibuwebsites.com,Dispatch@arcticsuninc.com,No,No,Yes,No,Yes,No,
,,38,Argent Heating & Cooling,"2724 Dorr Ave, Fairfax, VA 22031",571-386-4280,,,,,,,,,
,,39,Arlington Heating & Air Conditioning,"3516 S Four Mile Run Dr, Arlington, VA 22206",(703) 671-2288,https://arlingtonheating.com/,Contact through Website ,No,No,Yes,No,Yes,No,
,,40,"Atlantic Coastal Cooling & Heating, Inc.","7845 Cessna Ave Gaithersburg, MD 20879",301-216-1945,https://acch4hvac.com,service@acch4hvac.com,No,No,Yes,No,Yes,No,
,,41,Atlas Home Energy Solutions,"5108 Pegasus Ct ste a, Frederick, MD 21704",301-364-5055,https://www.atlashomeenergy.com,save@atlashomeenergy.com,Yes,Yes,No,No,No,No,
,,42,B & B Air Conditioning and Heating Service Co. Inc.,"6725 Santa Barbara Ct #101, Elkridge, MD 21075",866-604-1220,https://www.bbairconditioning.com,Contact through Website ,No,No,Yes,No,Yes,No,
,,43,B'S PLUMBING,,(301) 645-7040,https://www.bplumbing.net/Home.html,b@bplumbing.net,No,No,No,No,Yes,Yes,
,,44,"B.M.C./Clower Heating and Air Conditioning, Inc."," 8956 Brookville Rd, Silver Spring, MD 20910",(301) 747-0123,https://www.bmcclower.com,Contact through Website ,No,No,Yes,No,No,No,BBB Accredited with A+ rating
,,45,BIG JOHN HVAC LLC,"1403 HOUGH LN, FT WASHINGTON, MD 20744",240-463-4270,https://www.bigjohnhvacllc.com,bigjohn@bigjohnhvacllc.com,No,No,Yes,No,No,No,
,,46,BJ POOL & SPA,,(703) 323-1333,,,,,,,,,
,,47,"BK Tech Contractor, LLC","7369 McWhorter Pl STE 400, Annandale, VA 22003",(703) 731-1211,https://bktcl.com,INFO@BKTCL.COM,No,No,Yes,Yes,No,No,
,,48,BREEDEN MECHANICAL INC,"8101 Flannery Ct #7596-19-8642, Manassas, VA 20109",703-631-2711,https://www.breedencompanies.com,PRHR@breedencompanies.com,No,No,Yes,No,No,No,
,,49,Barstow & Sons Htg & Cooling,"1825 George Ave #6, Annapolis, MD 21401",443-305-7844,https://www.barstowhvac.com,dispatch.barstowhvac@gmail.com,No,No,Yes,No,Yes,No,Factory Authorized Dealer Carrier
,Eaton,50,Bausum & Duckett Electric Co. Inc.,"Edgewater, MD 21037",800-624-8887,https://bdelec.net,Contact through Website ,No,No,No,Yes,No,No,Eaton Certified Electrical Contractor
,,51,Belair Engineering and Service Co Inc,"15881 Commerce Ct, Upper Marlboro, MD 20774",(301) 249-0302,https://www.belairengineering.com/upper-marlboro-storefront?utm_source=google&utm_medium=organic&utm_campaign=gbp,Contact through Website ,No,No,Yes,No,Yes,No,BBB Accredited with A+ rating
,,52,Bilmin Co,"7411 Lindbergh Dr, Gaithersburg, MD 20879",(301) 948-9040,https://www.bilminhvac.net/index.html,info@bilmin.com,No,No,Yes,No,No,No,
,Eaton,53,Birckhead Electric Inc.,"3506 Malec Ln, Bowie, MD 20715",(240) 206-8375,https://birckhead.com/,Contact through Website ,No,No,No,Yes,No,No,Eaton Certified Electrical Contractor
,Eaton,54,Blueprint Robotics,"1500 Broening Hwy, Baltimore, MD 21224",(443) 927-9027,https://www.blueprint-robotics.com/,Contact through Website ,No,No,No,Yes,Yes,No,Eaton Certified Electrical Contractor
,,55,"Bowa Builders, Inc.","7900 Westpark Drive, McLean, VA 22102",703-734-9050,http://www.bowa.com/,doug@bowa.com,,,,,,,
,,56,Brennan's Heating and A/C Service,"2608 Morse Lane Woodbridge, VA 22192",(703) 783-0145,https://www.brennanshvac.com,Contact through Website ,No,No,Yes,No,No,No,BBB Accredited with A+ rating
,,57,Brosenne Electric Service,"212 Old Liberty Rd Sykesville, MD 21784",410-549-1213,http://www.besmd.net/,besmd@comcast.net,No,No,No,Yes,No,No,Eaton Certified
,,58,Building Energy Pros,"PO Box 4225, West McLean, VA 22103",(240) 252-5292,https://buildingenergypros.com,Contact through Website ,Yes,Yes,Yes,No,No,No,
