id,name,email,phone,website,addressLine1,addressLine2,city,state,zip,googlePlacesId,googleRating,googleNumRatings,googleReviewsUrl,isDraft,createdAt,updatedAt
7cf50df2-ea53-4f56-8414-45cfac558fd9,"A & E Construction, LLC",,,https://www.aandeconstructionllc.com/,910 Webster Street Northwest,,Washington,DC,20011,ChIJj6trVC_Jt4kRea2vra9G5yA,5,12,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7c92f546bab8f:0x20e746afadafad79!9m1!1b1,0,1746894565000,1746894565000
aa217af7-c687-4afe-bc9c-9fdda2096900,AAA HVAC SERVICES,,(703) 825-4973  & 703-988-7752,https://www.aaahvac.com/,1900 Reston Metro Plaza,Suite 600,Reston,VA,20190,ChIJ82FLcZg4tokRudbKxUfBx8s,4.8,342,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b63898714b61f3:0xcbc7c147c5cad6b9!9m1!1b1,0,1746894565000,1746894565000
d3f2ad0f-0810-48ff-be73-0f56bdc4b236,Accurate Insulation LLC,msears@accurateinsulation.com,(301) 627-6506,http://www.accurateinsulation.com/,15121 Marlboro Pike,,Upper Marlboro,MD,20772,ChIJvXTfRnaVt4kRaKDbz9D6_1g,1.8,10,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7957646df74bd:0x58fffad0cfdba068!9m1!1b1,0,1746894565000,1746894565000
66cbd9b1-27f3-47b7-a062-c3a13a05317c,All-Pro Services Inc,,(866) 941-4328,https://all-pro-services.com/,1215 Ritchie Road,,Capitol Heights,MD,20743,ChIJAQAAAGzIt4kRDedEbOgYWsQ,4.5,204,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7c86c00000001:0xc45a18e86c44e70d!9m1!1b1,0,1746894565000,1746894565000
be42c9ad-b1f8-4c76-b81d-e9361d6f872e,"Alltec's, LLC",,,https://alltecsco.com/,1800 Diagonal Road,600,Alexandria,VA,22314,ChIJ-2PX2Oqxt4kRq5q9sm05olg,5,1,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7b1ead8d763fb:0x58a2396db2bd9aab!9m1!1b1,0,1746894565000,1746894565000
ed039714-74d1-4564-91ff-5f97305b9df4,"CAPITAL MECHANICAL, LLC",,(703) 433-9323,http://www.capmec.com/,22720 Ladbrook Drive,,Sterling,VA,20166,ChIJbyQlues4tokRv6ID8aOMzK8,4.4,77,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b638ebb925246f:0xafcc8ca3f103a2bf!9m1!1b1,0,1746894565000,1746894565000
2ac2015c-6934-4bad-ad80-45b83d24bce2,Cam Electrical Services Inc,camelectrical@comcast.net,(443) 677-4453,http://www.cam-electrical.com/,3800 North Point Boulevard,,Dundalk,MD,21222,ChIJ8w8lMGAHyIkRnwI-aRmFtuw,5,3,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89c8076030250ff3:0xecb68519693e029f!9m1!1b1,0,1746894565000,1746894565000
e28e1b6d-106c-4223-9f23-dd28b8e244ba,"Complete Home Solutions, LLC",,410-867-1202,https://www.chomesolutions.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Lothian-MD,5463 Southern Maryland Boulevard,Unit #5,Lothian,MD,20711,ChIJYS2hZ26Ot4kRGhWkBaM86L8,4.8,439,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b78e6e67a12d61:0xbfe83ca305a4151a!9m1!1b1,0,1746894565000,1746894565000
322ec98c-c281-41ae-9e0c-e1b60d2b9b5e,Devere Insulation Home Performance,,443-770-1111,https://devereinsulationhomeperformance.com/,508 McCormick Drive,Suite H,Glen Burnie,MD,21061,ChIJz6ZpQhDjt4kRJETHAOiZgKk,4.9,513,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7e3104269a6cf:0xa98099e800c74424!9m1!1b1,0,1746894565000,1746894565000
e68b0ced-ba03-4cff-a4a3-da9d45bde7d7,ELYSIAN ENERGY,,240-371-3096,http://www.elysianenergy.com/,14300 Cherry Lane Court,Suite 214,Laurel,MD,20707,ChIJW3dIhsfIt4kRfmvVt0z418k,4.2,19,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7c8c78648775b:0xc9d7f84cb7d56b7e!9m1!1b1,0,1746894565000,1746894565000
a90a93a5-933d-4a88-aded-498cd4bab1c8,Efficient Home LLC,tonyc@efficienthomellc.com,(301) 476-7680,http://www.efficienthomellc.com/,3905 National Drive,,Burtonsville,MD,20866,ChIJw0MngnTbt4kReezVAGnJR0o,3.4,22,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7db74822743c3:0x4a47c96900d5ec79!9m1!1b1,0,1746894565000,1746894565000
1157de0c-e4ee-4714-a556-c42af88eb738,Energy Efficiency Experts,efficiency@epower3.com,(202) 557-9200,http://www.energyefficiencyexperts.com/,3501 37th Street,,Mount Rainier,MD,20712,ChIJfYKvXIvHt4kRx4lT9eVKOUI,5,2,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7c78b5caf827d:0x42394ae5f55389c7!9m1!1b1,0,1746894565000,1746894565000
b6d22fe7-0675-40fe-81cb-7ba93af041c9,H.D. Johnson,,(202) 244-6555,http://hdjohnsoninc.com/,1415 Elliot Place Northwest,,Washington,DC,20007,ChIJ_94SpP61t4kRCFq_ltUVU0Y,4,37,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7b5fea412deff:0x465315d596bf5a08!9m1!1b1,0,1746894565000,1746894565000
780b11f4-d993-4aaf-8291-df7f45c57ce3,Home Energy Medics,vwells@homeenergymedics.com,(703) 447-5379,http://www.homeenergymedics.com/,817 22nd Street South,,Arlington,VA,22202,ChIJRZom79a2t4kR-cqz93_tUeQ,4.7,192,https://www.google.com/maps/place//data=!4m4!3m3!1s0x89b7b6d6ef269a45:0xe451ed7ff7b3caf9!9m1!1b1,0,1746894565000,1746894565000
